"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"SSN 757","ALEXANDRIA","USS ALEXANDRIA (SSN 757)","","SUBMARINE (NUCLEAR-POWERED)","SSN 688","21465","Active, in commission","U.S. PACIFIC FLEET","06/29/1991","SAN DIEGO, CA","","","Battle Force","General Dynamics Electric Boat","11/26/1984","06/29/1991","06/19/1987","","06/23/1990","","06/13/1991","","","","362 ft","","33 ft","","31 ft","","6000 tons","6927 tons","927 tons","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","12","98","US NAVY","Huntington Ingalls Industries - Newport News Shipbuilding","General Dynamics Electric Boat","PMS 392","","12/05/2019"
"DD 752","ALFRED A CUNNINGHAM","ALFRED A CUNNINGHAM (DD 752)","","DESTROYER","DD 692","03852","Disposed of in support of Fleet training exercise","","10/01/1979","","","","","","","","","","","","","","","02/01/1974","","","","","","","","","","","","","","","","US NAVY","","","","","02/16/2011"
"AKR 287","ALGOL","ALGOL (AKR 287)","(ex - SEA-LAND EXCHANGE, AK 287)","VEHICLE CARGO SHIP","AKR 287","21591","Disposed of through Inter or Intra Agency Transfer","","10/01/2008","","","","","Droog-dok, Maalschappy","","","11/01/1971","","09/01/1972","","05/01/1973","","","10/01/2008","947 ft","893 ft","106 ft","106 ft","37 ft","32 ft","29692 tons","61987 tons","32295 tons","Steel hull, steel superstructure.","2","","Steam Turbines","","","","","","","ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008.","10/04/2019"
"LKA 54","ALGOL","ALGOL (LKA 54)","(ex - MC 1153, JAMES BAINES (AKA 54))","AMPHIBIOUS CARGO SHIP","LKA 54","01254","Disposed of by Navy title transfer to the Maritime Administration","","10/26/1989","","","","","","06/11/1942","07/21/1944","12/10/1942","","02/17/1943","","11/27/1943","","","01/01/1977","","","","","","","","","","","","","Steam Turbine","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","12/10/2001"
"AO 97","ALLAGASH","ALLAGASH (AO 97)","(ex - MC 2559)","FLEET REPLENISHMENT OILER","AO 22","04847","Disposed of by MARAD sale","","03/16/1976","","","","","","","","","","","","","","","06/01/1973","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","08/16/2016"
"YTM 174","ALLAQUIPPA","ALLAQUIPPA (YTM 174)","(ex - YTB 174)","MEDIUM HARBOR TUG (S-P)","YTM 174","13174","Disposed of, by Navy Sale","","05/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"DD 692","ALLEN M SUMNER","ALLEN M SUMNER (DD 692)","","DESTROYER","DD 692","04292","Disposed of, by Navy Sale","","10/01/1974","","","","","","","","","","","","","","","08/15/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"AKR 291","ALTAIR","ALTAIR (AKR 291)","(ex - SEA-LAND FINANCE, AK 291)","VEHICLE CARGO SHIP","AKR 287","21592","Disposed of through Inter or Intra Agency Transfer","","10/01/2008","","","","","Nord Seebrke GMBLT","","","","","04/01/1973","","08/01/1973","","","10/01/2008","947 ft","893 ft","106 ft","106 ft","37 ft","32 ft","29692 tons","61987 tons","32295 tons","Steel hull, steel superstructure.","2","","Steam Turbines","","","","","","","ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008.","10/04/2019"
"AKS 32","ALTAIR","ALTAIR (AKS 32)","(ex - AK 257)","STORES ISSUE SHIP","AKS 32","01907","Disposed of by MARAD sale","","11/01/1974","","","","","","","","","","","","","","","06/01/1973","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","01/02/2002"
"AF 55","ALUDRA","ALUDRA (AF 55)","(ex - MC 1202)","STORE SHIP","AF 55","01594","Disposed of by MARAD sale","","11/01/1978","","","","","","06/11/1942","","08/23/1944","","10/14/1944","","03/23/1945","","","06/01/1976","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","12/10/2001"
"SS 522","AMBERJACK","AMBERJACK (SS 522)","","SUBMARINE","SS 484","73122","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","10/01/1973","","","","","","","","","","","","","","","10/17/1973","","","","","","","","","","","","","","","","BRAZIL","","","","","12/31/2001"
"T-AKE 6","AMELIA EARHART","USNS AMELIA EARHART (T-AKE 6)","","DRY CARGO AND AMMUNITION SHIP","AKE 1","23196","Military Sealift Command (MSC) Naval Fleet Auxiliary Force","U.S. PACIFIC FLEET","10/30/2008","","","","Support Force","General Dynamics, National Steel & Shipbuilding Corp.","01/27/2004","","05/29/2007","","04/06/2008","","10/30/2008","10/30/2008","","","689 ft","654 ft","106 ft","106 ft","32 ft","32 ft","25085 tons","44069 tons","18984 tons","Steel hull, steel superstructure.","1","","Diesel Engine","41","82","MILITARY SEALIFT COMMAND","Military Sealift Command","","PMS 325","","03/06/2020"
"CV 66","AMERICA","AMERICA (CV 66)","(ex - CVA 66)","MULTI-PURPOSE AIRCRAFT CARRIER","CV 63","03366","Disposed of in support of Fleet training exercise","","05/14/2005","","","","","Newport News Shipbuilding","11/25/1960","01/23/1965","01/09/1961","","02/01/1964","08/09/1996","01/13/1965","","","08/09/1996","1048 ft","990 ft","248 ft","129 ft","38 ft","37 ft","61174 tons","83573 tons","22399 tons","Steel hull, steel superstructure.","4","","Steam Turbines","502","4684","US NAVY","","","","","05/19/2005"
"LHA 6","AMERICA","USS AMERICA (LHA 6)","","AMPHIBIOUS ASSAULT SHIP (GENERAL PURPOSE)","LHA 6","20103","Active, in commission","U.S. PACIFIC FLEET","10/11/2014","SASEBO, JAPAN","","","Battle Force","Northrop Grumman Ship Systems Ingalls Operations","06/01/2007","10/11/2014","04/27/2009","","06/04/2012","","04/10/2014","","","","844 ft","","106 ft","106 ft","29 ft","29 ft","30591 tons","44971 tons","14380 tons","Steel hull, aluminum superstructure.","2","","Hybrid Gas Turbine-Electric","102","1102","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","","","10/14/2021"
"AK 2062","AMERICAN CORMORANT","AMERICAN CORMORANT (AK 2062)","(ex - FERN CARRIER)","CARGO SHIP","AK 2062","46402","Disposed of by return to owner","","09/30/2002","","","","","","","","","","","","","","","","738 ft","","135 ft","","34 ft","","17942 tons","70692 tons","52750 tons","","1","","Diesel","","","","","","","","07/24/2006"
"AOT 165","AMERICAN EXPLORER","AMERICAN EXPLORER (AOT 165)","(ex - MA 53, AO 165)","TRANSPORT OILER","AOT 165","04998","Disposed of by Navy title transfer to the Maritime Administration","","10/01/1994","","","","","Ingalls Shipbuilding Corp.","07/01/1956","","07/01/1957","","04/01/1958","","10/01/1959","","","","615 ft","600 ft","80 ft","80 ft","35 ft","35 ft","8402 tons","32628 tons","24226 tons","Steel hull, steel superstructure.","1","","Steam Turbines","16","37","","","","","SHIP DEPARTED MARAD ON 13 AUG 08 TO SOUTHERN SCRAP MATERIAL CO.","03/20/2009"
"AK 4729","AMERICAN TERN","AMERICAN TERN (AK 4729)","(ex - LYKES FLYER)","CARGO SHIP","AK 4729","","Special, chartered by MSC, listed here as part of the U.S. Navy Ship Forces.","","01/15/2008","","","","Strategic Sealift Force","","","","08/07/1989","","","","12/01/1990","","","","521 ft","","76 ft","","33 ft","","","8650 tons","","","","","","","","","","","","","04/28/2010"
"APD 46","AMESBURY","AMESBURY (APD 46)","(ex - DE 66)","HIGH SPEED TRANSPORT","APD 37","02766","Disposed of by Dismantling (Scrapping/Recycling)","","10/24/1962","","","","","BETHLEHEM STEEL CORP., HINGHAM SHIPYARD","02/10/1943","08/31/1943","03/08/1943","","06/05/1943","07/03/1946","08/31/1944","","","06/01/1960","306 ft","300 ft","37 ft","36 ft","9 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","12/12/2017"
"FF 168","AMICK","AMICK (FF 168)","(ex - DE 168)","FRIGATE","FF 99","02868","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","09/01/1976","","","","","","","","","","","","","","","06/15/1975","","","","","","","","","","","","","","","","PHILIPPINES","","","","","12/28/2001"
"ADG 11","AMPERE","AMPERE (ADG 11)","(ex - DRAKE (AM 359), YDG 11)","DEGAUSSING SHIP","ADG 8","07859","Stricken, to be disposed of by Navy sale","","08/01/1961","","","","","Willamette Iron & Steel Corp.","08/12/1943","","11/24/1943","","08/12/1944","","08/15/1945","","","07/01/1961","185 ft","180 ft","34 ft","33 ft","10 ft","","700 tons","950 tons","250 tons","Steel hull, steel superstructure.","2","","Diesel","9","56","","","","","","09/29/2015"
"AR 13","AMPHION","AMPHION (AR 13)","","REPAIR SHIP","AR 13","08813","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","03/01/1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IRAN","","","","","02/01/1999"
"YTM 409","ANAMOSA","ANAMOSA (YTM 409)","(ex - YTB 409)","MEDIUM HARBOR TUG (S-P)","YTM 364","13409","Disposed of, by Navy Sale","","07/01/1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/30/2001"
"LPD 23","ANCHORAGE","USS ANCHORAGE (LPD 23)","","AMPHIBIOUS TRANSPORT DOCK","LPD 17","3015A","Active, in commission","U.S. PACIFIC FLEET","05/04/2013","SAN DIEGO, CA","","","Battle Force","Northrop Grumman Ship Systems Avondale Operations","06/01/2006","05/04/2013","09/24/2007","","02/12/2011","","09/17/2012","","","","684 ft","656 ft","105 ft","105 ft","","24 ft","19100 tons","25750 tons","6650 tons","Steel hull, steel superstructure.","2","","Diesel Engines","38","364","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","PMS 407","","10/15/2021"
"LSD 36","ANCHORAGE","ANCHORAGE (LSD 36)","","DOCK LANDING SHIP","LSD 36","07203","Disposed of by abandoning, burning, scuttling, or sinking","","07/18/2010","","","NAVSEA Inactive Ships On-site Maintenance Office, Pearl Harbor, HI","","Ingalls Shipbuilding Corp.","06/29/1965","03/15/1969","03/13/1967","","05/05/1968","10/01/2003","02/20/1969","","","03/08/2004","553 ft","540 ft","84 ft","84 ft","19 ft","20 ft","8325 tons","14095 tons","5770 tons","Steel hull, steel superstructure.","2","","Steam Turbines","53","771","","","","","","10/15/2010"
"AO 190","ANDREW J HIGGINS","ANDREW J HIGGINS (AO 190)","","FLEET REPLENISHMENT OILER","AO 187","21469","Disposed of through Inter or Intra Agency Transfer","","05/19/2009","","","","","Avondale Industries","11/22/1983","","11/21/1985","05/06/1996","01/17/1987","","10/22/1987","","","01/06/2009","677 ft","650 ft","97 ft","97 ft","35 ft","35 ft","9500 tons","40700 tons","31200 tons","Steel hull, steel superstructure.","2","","Diesel Engines","","","CHILE","","","","ANDREW J. HIGGINS (AO 190) was re-commissioned Feb. 10, 2010 in Mobile, Ala., as the Chilean supply ship ALMIRANTE MONTT (AO 52).","12/12/2017"
"SSBN 619","ANDREW JACKSON","ANDREW JACKSON (SSBN 619)","","BALLISTIC MISSILE SUBMARINE (NUCLEAR-POWERED)","SSBN 616","05061","Disposed of by submarine recycling","","08/30/1999","","","","","Naval Shipyard Mare Island","07/23/1960","07/03/1963","04/26/1961","","09/15/1962","08/31/1989","07/03/1963","","","08/31/1989","","","","","","","","","","","","","Steam Turbine (Nuclear)","","","PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)","","","","","09/14/1999"
"IXSS 240","ANGLER","ANGLER (IXSS 240)","(ex - AGSS 240)","UNCLASSIFIED MISCELLANEOUS SUBMARINE","","05240","Disposed of, by Navy Sale","","03/01/1974","","","","","","","","","","","","","","","12/15/1971","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"YTM 767","ANKACHAK","ANKACHAK (YTM 767)","(ex - YTB 501)","MEDIUM HARBOR TUG (S-P)","YTM 764","27010","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","12/01/1978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GREECE","","","","","08/30/2001"
"AGMR 1","ANNAPOLIS","ANNAPOLIS (AGMR 1)","(ex - AKV 39)","MAJOR COMMUNICATIONS RELAY SHIP","AGMR 1","07334","Disposed of, by Navy Sale","","11/01/1979","","","","","","","","","","","","","","","10/15/1976","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/28/2001"
"SSN 760","ANNAPOLIS","USS ANNAPOLIS (SSN 760)","","SUBMARINE (NUCLEAR-POWERED)","SSN 688","21690","Active, in commission","U.S. PACIFIC FLEET","04/11/1992","AGANA, GUAM","","","Battle Force","General Dynamics Electric Boat","03/21/1986","04/11/1992","06/15/1988","","05/18/1991","","04/07/1992","","","","362 ft","","33 ft","","31 ft","","6000 tons","6927 tons","927 tons","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","12","98","US NAVY","Huntington Ingalls Industries - Newport News Shipbuilding","General Dynamics Electric Boat","PMS 392","","03/15/2022"
"YTB 810","ANOKA","ANOKA (YTB 810)","","LARGE HARBOR TUG (S-P)","YTB 760","12642","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) by Exchange/Sale for reuse/conversion","","11/20/2001","","","","","Peterson Builders Inc.","06/22/1970","","10/05/1970","","04/15/1971","","08/31/1971","","","03/13/2001","109 ft","101 ft","29 ft","31 ft","14 ft","12 ft","282 tons","344 tons","62 tons","Steel hull, steel superstructure.","1","","Diesel Engine","","12","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/25/2002"
"AKR 294","ANTARES","ANTARES (AKR 294)","(ex - SEA-LAND GALLOWAY, AK 294)","VEHICLE CARGO SHIP","AKR 287","21593","Disposed of through Inter or Intra Agency Transfer","","10/01/2008","","","","","A. G. Wesser","08/01/1969","","","","05/01/1972","","09/01/1972","","","10/01/2008","947 ft","893 ft","106 ft","106 ft","37 ft","32 ft","29692 tons","61987 tons","32295 tons","Steel hull, steel superstructure.","2","","Steam Turbines","","","","","","","ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008.","10/04/2019"
"PG 86","ANTELOPE","ANTELOPE (PG 86)","(ex - PGM 86)","PATROL COMBATANT","PG 84","12585","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","12/01/1977","","","","","","","11/04/1967","","","06/18/1966","","","","","10/01/1977","","","","","","","","","","","2","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/10/2001"
"DD 515","ANTHONY","ANTHONY (DD 515)","","DESTROYER","DD 448","04515","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","06/01/1972","","","","","","","","","","","","","","","04/15/1972","","","","","","","","","","","","","","","","GERMANY","","","","","01/02/2002"
"CG 54","ANTIETAM","USS ANTIETAM (CG 54)","","GUIDED MISSILE CRUISER","CG 47","21387","Active, in commission","U.S. PACIFIC FLEET","06/06/1987","YOKOSUKA, JAPAN","","","Battle Force","Ingalls Shipbuilding Corp.","06/20/1983","06/06/1987","11/15/1984","","02/14/1986","","04/01/1987","","","","567 ft","529 ft","55 ft","55 ft","33 ft","23 ft","7132 tons","9992 tons","2860 tons","Steel hull, aluminum superstructure.","2","","Gas Turbines","37","339","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","PMS 407","","08/02/2018"
"CVS 36","ANTIETAM","ANTIETAM (CVS 36)","(ex - CVA 36)","ASW SUPPORT AIRCRAFT CARRIER","CVS 13","03336","Disposed of, by Navy Sale","","12/01/1973","","","","","","","","","","","","","","","05/01/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"YTB 792","ANTIGO","ANTIGO (YTB 792)","","LARGE HARBOR TUG (S-P)","YTB 760","17667","Sold through the General Services Administration (GSA) for reuse","","05/17/2000","","","","","Marinette Marine Corp.","06/16/1966","","09/27/1966","","04/18/1967","","07/10/1967","","","06/25/1999","109 ft","107 ft","31 ft","29 ft","14 ft","13 ft","283 tons","356 tons","73 tons","Steel hull, steel superstructure.","1","","Diesel Engines","","12","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","07/18/2000"
"FFG 20","ANTRIM","ANTRIM (FFG 20)","","GUIDED MISSILE FRIGATE","FFG 7","20973","Disposed of through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment","","08/27/1997","","","","","Todd Shipyards Corp., Seattle Div","02/28/1977","09/26/1981","06/21/1978","","03/27/1979","05/08/1996","08/20/1981","","","09/04/1997","445 ft","408 ft","47 ft","47 ft","25 ft","16 ft","3031 tons","3911 tons","880 tons","Steel hull, aluminum superstructure.","1","","Gas Turbines","17","198","TURKEY","","","","","01/07/1999"
"CG 68","ANZIO","USS ANZIO (CG 68)","","GUIDED MISSILE CRUISER","CG 47","21658","Active, in commission","U.S. ATLANTIC FLEET","05/02/1992","NORFOLK, VA","","","Battle Force","Ingalls Shipbuilding Corp.","04/16/1987","05/02/1992","08/21/1989","","11/02/1990","","02/10/1992","","","","567 ft","529 ft","55 ft","55 ft","33 ft","23 ft","7132 tons","9992 tons","2860 tons","Steel hull, aluminum superstructure.","2","","Gas Turbines","37","339","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","PMS 407","","08/02/2018"
"ATF 67","APACHE","APACHE (ATF 67)","(ex - AT 67)","FLEET OCEAN TUG","ATF 67","07067","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","06/01/1974","","","","","","","","","","","","","","","03/30/1974","","","","","","","","","","","","","","","","TAIWAN","","","","","12/17/2001"
"T-ATF 172","APACHE","USNS APACHE (T-ATF 172)","","FLEET OCEAN TUG","ATF 166","21091","Military Sealift Command (MSC) Naval Fleet Auxiliary Force","U.S. ATLANTIC FLEET","07/23/1981","","","","Support Force","Marinette Marine Corp.","02/27/1978","","03/22/1979","","03/28/1981","","07/23/1981","07/23/1981","","","226 ft","204 ft","42 ft","42 ft","15 ft","16 ft","1541 tons","2370 tons","829 tons","Steel hull, steel superstructure.","2","","Diesel Electric","7","10","MILITARY SEALIFT COMMAND","Military Sealift Command","","MSC","","06/13/2022"
